iter	Passed	Remaining
0	405	40150
1	676	33145
2	908	29366
3	1096	26327
4	1288	24490
5	1496	23438
6	1711	22733
7	1912	21996
8	2107	21305
9	2297	20675
10	2509	20300
11	2704	19835
12	2883	19298
13	3071	18870
14	3424	19407
15	3677	19308
16	3915	19115
17	4110	18723
18	4293	18302
19	4481	17927
20	4674	17583
21	4859	17227
22	5051	16911
23	5242	16601
24	5435	16305
25	5626	16013
26	5812	15714
27	6001	15432
28	6194	15167
29	6375	14875
30	6562	14606
31	6758	14362
32	6942	14095
33	7129	13839
34	7314	13584
35	7507	13346
36	7696	13104
37	7887	12868
38	8079	12637
39	8270	12406
40	8460	12174
41	8657	11955
42	8998	11928
43	9187	11692
44	9374	11458
45	9567	11231
46	9757	11003
47	9942	10770
48	10136	10550
49	10328	10328
50	10519	10106
51	10720	9895
52	10916	9680
53	11107	9462
54	11305	9249
55	11490	9028
56	11675	8808
57	11866	8592
58	12056	8378
59	12241	8161
60	12437	7951
61	12630	7741
62	12818	7528
63	13029	7329
64	13218	7117
65	13416	6911
66	13610	6703
67	13795	6491
68	13986	6283
69	14332	6142
70	14521	5931
71	14707	5719
72	14916	5517
73	15107	5308
74	15296	5098
75	15489	4891
76	15677	4683
77	15876	4477
78	16090	4277
79	16287	4071
80	16483	3866
81	16678	3661
82	16868	3454
83	17078	3253
84	17269	3047
85	17472	2844
86	17671	2640
87	17882	2438
88	18081	2234
89	18272	2030
90	18466	1826
91	18676	1624
92	18866	1420
93	19048	1215
94	19288	1015
95	19478	811
96	19678	608
97	19883	405
98	20216	204
99	20403	0
